,Combo_ID,huc8,Date,DTW,DTW_meters,DTW_Category,Decade
6364996,533533,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6364997,533534,14070006,1991-11-01,0.0,0.0,Near Surface (<2m),1990
6364998,533535,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6364999,533536,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6365000,533537,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6365001,533538,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6365002,533539,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6365003,533540,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6365004,533542,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
6365005,533543,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
9099012,558318,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
9099014,558319,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
13956384,208851,14070006,2006-01-01,5.0,1.524,Near Surface (<2m),2000
14763119,215774,14070006,2007-07-01,5.0,1.524,Near Surface (<2m),2000
9099013,558318,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
9099015,558319,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
94582,361317109355801,14080204,1980-03-01,17.07,5.202936,Shallow (5-10m),1980
541902,361317109355801,14080204,1981-01-01,17.37,5.294376000000001,Shallow (5-10m),1980
1123418,361317109355801,14080204,1982-02-01,17.09,5.2090320000000006,Shallow (5-10m),1980
1660202,361317109355801,14080204,1983-02-01,16.52,5.035296,Shallow (5-10m),1980
2152254,361317109355801,14080204,1984-01-01,16.43,5.0078640000000005,Shallow (5-10m),1980
2778502,361317109355801,14080204,1985-03-01,16.08,4.901184,Very Shallow (2-5m),1980
3315286,361317109355801,14080204,1986-03-01,16.1,4.907280000000001,Very Shallow (2-5m),1980
3717874,361317109355801,14080204,1986-12-01,16.8,5.120640000000001,Shallow (5-10m),1980
4254658,361317109355801,14080204,1987-12-01,16.8,5.120640000000001,Shallow (5-10m),1980
4791442,361317109355801,14080204,1988-12-01,16.6,5.059680000000001,Shallow (5-10m),1980
5462422,361317109355801,14080204,1990-03-01,17.2,5.24256,Shallow (5-10m),1990
6043938,361317109355801,14080204,1991-04-01,16.7,5.09016,Shallow (5-10m),1990
6535990,361317109355801,14080204,1992-03-01,17.3,5.273040000000001,Shallow (5-10m),1990
7117506,361317109355801,14080204,1993-04-01,16.63,5.068824,Shallow (5-10m),1990
7217698,539524,14080204,1993-06-01,33.0,10.0584,Deep (10-61m),1990
7654290,361317109355801,14080204,1994-04-01,17.47,5.324856,Shallow (5-10m),1990
8146342,361317109355801,14080204,1995-03-01,17.5,5.3340000000000005,Shallow (5-10m),1990
8593662,361317109355801,14080204,1996-01-01,18.2,5.54736,Shallow (5-10m),1990
10696066,361317109355801,14080204,1999-12-01,18.6,5.6692800000000005,Shallow (5-10m),1990
11367046,361317109355801,14080204,2001-03-01,18.7,5.69976,Shallow (5-10m),2000
12977398,361317109355801,14080204,2004-03-01,18.7,5.69976,Shallow (5-10m),2000
5551927,370119110181401,14080205,1990-05-01,11.0,3.3528000000000002,Very Shallow (2-5m),1990
5641391,370119110181401,14080205,1990-07-01,14.7,4.48056,Very Shallow (2-5m),1990
5686123,370119110181401,14080205,1990-08-01,15.0,4.572,Very Shallow (2-5m),1990
5730855,370119110181401,14080205,1990-09-01,16.0,4.8768,Very Shallow (2-5m),1990
5775587,370119110181401,14080205,1990-10-01,15.0,4.572,Very Shallow (2-5m),1990
5820319,370119110181401,14080205,1990-11-01,14.5,4.4196,Very Shallow (2-5m),1990
5865051,370119110181401,14080205,1990-12-01,14.0,4.2672,Very Shallow (2-5m),1990
5954515,370119110181401,14080205,1991-02-01,14.0,4.2672,Very Shallow (2-5m),1990
6043979,370119110181401,14080205,1991-04-01,14.0,4.2672,Very Shallow (2-5m),1990
6088711,370119110181401,14080205,1991-05-01,14.0,4.2672,Very Shallow (2-5m),1990
6133443,370119110181401,14080205,1991-06-01,16.0,4.8768,Very Shallow (2-5m),1990
6178175,370119110181401,14080205,1991-07-01,14.0,4.2672,Very Shallow (2-5m),1990
6222907,370119110181401,14080205,1991-08-01,14.0,4.2672,Very Shallow (2-5m),1990
6312371,370119110181401,14080205,1991-10-01,14.5,4.4196,Very Shallow (2-5m),1990
6357103,370119110181401,14080205,1991-11-01,14.0,4.2672,Very Shallow (2-5m),1990
6401835,370119110181401,14080205,1991-12-01,14.5,4.4196,Very Shallow (2-5m),1990
6446567,370119110181401,14080205,1992-01-01,14.0,4.2672,Very Shallow (2-5m),1990
6491299,370119110181401,14080205,1992-02-01,14.0,4.2672,Very Shallow (2-5m),1990
