,Combo_ID,huc8,Date,DTW,DTW_meters,DTW_Category,Decade
7122146,533533,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122147,533534,14070006,1991-11-01,0.0,0.0,Near Surface (<2m),1990
7122148,533535,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122149,533536,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122150,533537,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122151,533538,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122152,533539,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122153,533540,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122154,533542,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7122155,533543,14070006,1991-11-01,16.0,4.8768,Very Shallow (2-5m),1990
7322369,534822,14070006,1992-03-01,0.0,0.0,Near Surface (<2m),1990
7322372,534828,14070006,1992-03-01,4.0,1.2192,Near Surface (<2m),1990
7322373,534829,14070006,1992-03-01,4.0,1.2192,Near Surface (<2m),1990
7322374,534830,14070006,1992-03-01,5.0,1.524,Near Surface (<2m),1990
7322375,534831,14070006,1992-03-01,7.0,2.1336,Very Shallow (2-5m),1990
7322376,534832,14070006,1992-03-01,0.0,0.0,Near Surface (<2m),1990
7322377,534833,14070006,1992-03-01,6.0,1.8288000000000002,Near Surface (<2m),1990
7322378,534834,14070006,1992-03-01,0.0,0.0,Near Surface (<2m),1990
7322379,534835,14070006,1992-03-01,6.0,1.8288000000000002,Near Surface (<2m),1990
7322380,534836,14070006,1992-03-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
7322381,534837,14070006,1992-03-01,12.0,3.6576000000000004,Very Shallow (2-5m),1990
7322382,534838,14070006,1992-03-01,19.0,5.7912,Shallow (5-10m),1990
7322383,534839,14070006,1992-03-01,0.0,0.0,Near Surface (<2m),1990
7322384,534840,14070006,1992-03-01,0.0,0.0,Near Surface (<2m),1990
7372421,534821,14070006,1992-04-01,0.0,0.0,Near Surface (<2m),1990
7372423,534823,14070006,1992-04-01,5.0,1.524,Near Surface (<2m),1990
7372424,534824,14070006,1992-04-01,4.0,1.2192,Near Surface (<2m),1990
8326613,540963,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326614,540964,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326615,540965,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326616,540966,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326617,540967,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326618,540968,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326619,540969,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326620,540970,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
8326621,540971,14070006,1993-11-01,8.0,2.4384,Very Shallow (2-5m),1990
10181505,558318,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
10181507,558319,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
11835669,576421,14070006,1999-09-01,6.0,1.8288000000000002,Near Surface (<2m),1990
11835670,576422,14070006,1999-09-01,6.0,1.8288000000000002,Near Surface (<2m),1990
15616536,208851,14070006,2006-01-01,5.0,1.524,Near Surface (<2m),2000
16519236,215774,14070006,2007-07-01,5.0,1.524,Near Surface (<2m),2000
10181506,558318,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
10181508,558319,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
105898,361317109355801,14080204,1980-03-01,17.07,5.202936,Shallow (5-10m),1980
606428,361317109355801,14080204,1981-01-01,17.37,5.294376000000001,Shallow (5-10m),1980
1257117,361317109355801,14080204,1982-02-01,17.09,5.2090320000000006,Shallow (5-10m),1980
1857753,361317109355801,14080204,1983-02-01,16.52,5.035296,Shallow (5-10m),1980
2408336,361317109355801,14080204,1984-01-01,16.43,5.0078640000000005,Shallow (5-10m),1980
3109078,361317109355801,14080204,1985-03-01,16.08,4.901184,Very Shallow (2-5m),1980
3709714,361317109355801,14080204,1986-03-01,16.1,4.907280000000001,Very Shallow (2-5m),1980
4160191,361317109355801,14080204,1986-12-01,16.8,5.120640000000001,Shallow (5-10m),1980
4760827,361317109355801,14080204,1987-12-01,16.8,5.120640000000001,Shallow (5-10m),1980
5361463,361317109355801,14080204,1988-12-01,16.6,5.059680000000001,Shallow (5-10m),1980
6112258,361317109355801,14080204,1990-03-01,17.2,5.24256,Shallow (5-10m),1990
6762947,361317109355801,14080204,1991-04-01,16.7,5.09016,Shallow (5-10m),1990
7313530,361317109355801,14080204,1992-03-01,17.3,5.273040000000001,Shallow (5-10m),1990
7964219,361317109355801,14080204,1993-04-01,16.63,5.068824,Shallow (5-10m),1990
8076357,539524,14080204,1993-06-01,33.0,10.0584,Deep (10-61m),1990
8564855,361317109355801,14080204,1994-04-01,17.47,5.324856,Shallow (5-10m),1990
9115438,361317109355801,14080204,1995-03-01,17.5,5.3340000000000005,Shallow (5-10m),1990
9615968,361317109355801,14080204,1996-01-01,18.2,5.54736,Shallow (5-10m),1990
11968459,361317109355801,14080204,1999-12-01,18.6,5.6692800000000005,Shallow (5-10m),1990
12719254,361317109355801,14080204,2001-03-01,18.7,5.69976,Shallow (5-10m),2000
14521162,361317109355801,14080204,2004-03-01,18.7,5.69976,Shallow (5-10m),2000
6212409,370119110181401,14080205,1990-05-01,11.0,3.3528000000000002,Very Shallow (2-5m),1990
6312515,370119110181401,14080205,1990-07-01,14.7,4.48056,Very Shallow (2-5m),1990
6362568,370119110181401,14080205,1990-08-01,15.0,4.572,Very Shallow (2-5m),1990
6412621,370119110181401,14080205,1990-09-01,16.0,4.8768,Very Shallow (2-5m),1990
6462674,370119110181401,14080205,1990-10-01,15.0,4.572,Very Shallow (2-5m),1990
6512727,370119110181401,14080205,1990-11-01,14.5,4.4196,Very Shallow (2-5m),1990
6562780,370119110181401,14080205,1990-12-01,14.0,4.2672,Very Shallow (2-5m),1990
6662886,370119110181401,14080205,1991-02-01,14.0,4.2672,Very Shallow (2-5m),1990
6762992,370119110181401,14080205,1991-04-01,14.0,4.2672,Very Shallow (2-5m),1990
