,Combo_ID,huc8,Date,DTW,DTW_meters,DTW_Category,Decade
7563965,558318,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
7563967,558319,14070006,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
12272690,215774,14070006,2007-07-01,5.0,1.524,Near Surface (<2m),2000
7563966,558318,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
7563968,558319,14070007,1996-12-01,24.0,7.315200000000001,Shallow (5-10m),1990
4615272,370119110181401,14080205,1990-05-01,11.0,3.3528000000000002,Very Shallow (2-5m),1990
4689644,370119110181401,14080205,1990-07-01,14.7,4.48056,Very Shallow (2-5m),1990
4726830,370119110181401,14080205,1990-08-01,15.0,4.572,Very Shallow (2-5m),1990
4764016,370119110181401,14080205,1990-09-01,16.0,4.8768,Very Shallow (2-5m),1990
4801202,370119110181401,14080205,1990-10-01,15.0,4.572,Very Shallow (2-5m),1990
4838388,370119110181401,14080205,1990-11-01,14.5,4.4196,Very Shallow (2-5m),1990
4875574,370119110181401,14080205,1990-12-01,14.0,4.2672,Very Shallow (2-5m),1990
4949946,370119110181401,14080205,1991-02-01,14.0,4.2672,Very Shallow (2-5m),1990
5024318,370119110181401,14080205,1991-04-01,14.0,4.2672,Very Shallow (2-5m),1990
5061504,370119110181401,14080205,1991-05-01,14.0,4.2672,Very Shallow (2-5m),1990
5098690,370119110181401,14080205,1991-06-01,16.0,4.8768,Very Shallow (2-5m),1990
5135876,370119110181401,14080205,1991-07-01,14.0,4.2672,Very Shallow (2-5m),1990
5173062,370119110181401,14080205,1991-08-01,14.0,4.2672,Very Shallow (2-5m),1990
5247434,370119110181401,14080205,1991-10-01,14.5,4.4196,Very Shallow (2-5m),1990
5284620,370119110181401,14080205,1991-11-01,14.0,4.2672,Very Shallow (2-5m),1990
5321806,370119110181401,14080205,1991-12-01,14.5,4.4196,Very Shallow (2-5m),1990
5358992,370119110181401,14080205,1992-01-01,14.0,4.2672,Very Shallow (2-5m),1990
5396178,370119110181401,14080205,1992-02-01,14.0,4.2672,Very Shallow (2-5m),1990
5470550,370119110181401,14080205,1992-04-01,14.0,4.2672,Very Shallow (2-5m),1990
5730852,370119110181401,14080205,1992-11-01,14.0,4.2672,Very Shallow (2-5m),1990
5842410,370119110181401,14080205,1993-02-01,14.0,4.2672,Very Shallow (2-5m),1990
5953968,370119110181401,14080205,1993-05-01,14.0,4.2672,Very Shallow (2-5m),1990
6028340,370119110181401,14080205,1993-07-01,14.0,4.2672,Very Shallow (2-5m),1990
6102712,370119110181401,14080205,1993-09-01,14.0,4.2672,Very Shallow (2-5m),1990
6251456,370119110181401,14080205,1994-01-01,14.5,4.4196,Very Shallow (2-5m),1990
6809246,370119110181401,14080205,1995-04-01,19.0,5.7912,Shallow (5-10m),1990
7143920,370119110181401,14080205,1996-01-01,14.0,4.2672,Very Shallow (2-5m),1990
7218292,370119110181401,14080205,1996-03-01,15.0,4.572,Very Shallow (2-5m),1990
7255478,370119110181401,14080205,1996-04-01,14.0,4.2672,Very Shallow (2-5m),1990
7367036,370119110181401,14080205,1996-07-01,17.2,5.24256,Shallow (5-10m),1990
7590152,370119110181401,14080205,1997-01-01,14.0,4.2672,Very Shallow (2-5m),1990
7701710,370119110181401,14080205,1997-04-01,14.0,4.2672,Very Shallow (2-5m),1990
7813268,370119110181401,14080205,1997-07-01,14.0,4.2672,Very Shallow (2-5m),1990
7924826,370119110181401,14080205,1997-10-01,14.0,4.2672,Very Shallow (2-5m),1990
8036384,370119110181401,14080205,1998-01-01,15.0,4.572,Very Shallow (2-5m),1990
